cID,k_original,k_analyzed,k_conventional,n_outliers_identified,n_outliers_removed,residual_screen_fallback,pet_peese_method,pet_peese_estimate,pet_peese_se,pet_peese_p_value,small_study_effect_p_value,random_effect_estimate,random_effect_se,random_effect_p_value,random_effect_tau2,random_effect_fallback,pet_peese_vs_random_deviation,pet_peese_vs_random_percentage_deviation
240-1,25,25,25,0,0,FALSE,PET,6.509490096001869e-4,4.673773429253943e-4,0.1897528417563361,0.0014490306347184352,0.001833720488396197,4.2760853644925405e-4,6.525243489264569e-4,2.123276339518463e-6,FALSE,-0.0011827714787960102,-64.50118686466126
240-2,11,11,11,0,0,FALSE,PET,-0.060583661555395754,0.029969936708369223,0.11362902635898715,0.2611809383853173,-0.09344347267675704,0.027999979438855266,0.017758265200791542,0.004004285677838142,FALSE,-0.032859811121361285,-35.16544299999541
240-3,15,15,15,0,0,FALSE,PET,-0.006896289098970378,0.004951911133928234,0.26864514154318225,0.009805512425757066,-0.022006903498443173,0.005297818783821969,0.013874986274989138,7.851818277376776e-5,FALSE,-0.015110614399472796,-68.66306475393851
240-4,11,11,11,0,0,FALSE,PET,-0.009286924279329348,0.005994451492652131,0.24070186569653854,0.3632417714711373,-0.015260184431142286,0.004336938605834843,0.07080347932750923,1.9210172729769284e-11,FALSE,-0.005973260151812938,-39.14277824600194
241-1,5,5,5,0,0,FALSE,PET,3.278289500459035e-4,0.005824307762442476,0.9600198554235357,0.31066553855558965,0.004152022873758503,0.004940896022357076,0.5284334033482336,2.1508547648320496e-11,FALSE,-0.0038241939237125995,-92.1043558763166
241-2,9,9,9,0,0,FALSE,PEESE,0.014575607105336272,0.0062393625478680565,0.10731679247840266,0.4543193578671173,0.01397767837012656,0.0060405818727581675,0.09953656771672316,7.405971107937594e-5,FALSE,5.979287352097119e-4,4.277739974956213
241-4,8,8,8,0,0,FALSE,PET,0.025425165867615007,0.05436771285717598,0.6625286135676685,0.38257143895691825,0.07839768892726391,0.03406890844252039,0.06552570451030723,0.003099077511852457,FALSE,-0.052972523059648904,-67.56898549496266
241-7,5,5,5,0,0,FALSE,PET,0.047232364232407696,0.03741992644703993,0.3548650444840935,0.9551006422752372,0.045966660179196615,0.029292986371132958,0.22262819817906054,9.395308535686558e-4,FALSE,0.0012657040532110808,2.753526247669191
245-1,5,5,5,0,0,FALSE,PET,0.01417443854505325,0.3929516514840998,0.9763927647964823,0.13442383517171996,0.6552367115710552,0.3301364065805223,0.12745475061936123,0.1749314300915136,FALSE,-0.6410622730260019,-97.83674536320356
2455-1,10,10,10,0,0,FALSE,PET,-0.005070365351989493,0.17119268232031898,0.9775008581746779,0.6403946555512517,0.11366295679712986,0.08678792493564985,0.2258712329266122,0.03011143813148779,FALSE,-0.10859259144514036,-95.53912242399316
2457-1,59,59,59,0,0,FALSE,PET,0.09654771476929618,0.15763492367643878,0.5474442250433541,0.042353039957667614,0.5184838855232571,0.13947916843137922,9.996772615938848e-4,0.44030765634774843,FALSE,-0.4219361707539609,-81.37883983185714
246-1,10,10,10,0,0,FALSE,PET,-0.006487738584979155,0.18995176351037546,0.9751791950765233,0.1657404581319898,0.2631379400911645,0.10446097855272828,0.05634246570377671,0.030389070432924516,FALSE,-0.25665020150618534,-97.53447238253388
246-2,6,6,6,0,0,FALSE,PEESE,-0.08784179693470257,0.06876934888577285,0.30586918977969396,0.04355421361982727,0.22563023875280172,0.06637434585432692,0.042243252070211804,2.852607376564672e-9,FALSE,-0.13778844181809916,-61.06825156935584
246-3,10,10,10,0,0,FALSE,PET,-0.19901458077180467,0.5720443069319584,0.754750952349987,0.44016249368609295,0.2447381626283046,0.1607296084987651,0.2070058064918692,0.08197215548507102,FALSE,-0.04572358185649994,-18.682653071128307
246-4,10,10,10,0,0,FALSE,PET,0.20118559292262306,0.24071098308745015,0.4718648032239477,0.8174531407218674,0.2636292266776633,0.19167840303436276,0.21975155537484617,0.21239939555515863,FALSE,-0.06244363375504025,-23.686157465154434
2474-1,25,25,25,0,0,FALSE,PET,-0.04580872419812643,0.08783489588510639,0.6266865757338898,0.10677724314139402,0.23124423159319546,0.07806894718982212,0.01732475872322164,0.04742363583887438,FALSE,-0.18543550739506903,-80.19032782676582
2479-1,17,15,15,2,2,FALSE,PEESE,0.5104422892311511,0.612005886238974,0.4282420333462189,0.04955146129052553,2.96397626358688,0.7044635448053557,0.0012469307754764804,4.497012282880071,FALSE,-2.4535339743557287,-82.77846231422126
2479-2,12,10,10,2,2,FALSE,PET,-1.0100795650935768,1.2621164923625403,0.46915803640392606,0.0296335042084782,3.5837847236367573,1.2313941252287315,0.027083812774088216,9.996246908198458,FALSE,-2.5737051585431807,-71.81528347861902
2503-1,5,5,5,0,0,FALSE,PET,0.11318535475427756,0.10273538943981465,0.391833897858186,0.598388892834691,0.17410979236811241,0.08340500452505942,0.1568384141323154,0.008952755080862284,FALSE,-0.060924437613834856,-34.99196500391264
2503-2,6,6,6,0,0,FALSE,PET,0.019961275248959513,0.004944736800586545,0.11857910944163348,0.17117764062062582,0.04971180040953688,0.021920426327107334,0.13370560152758315,4.329952462752596e-4,FALSE,-0.029750525160577364,-59.84600218758105
2503-7,18,18,18,0,0,FALSE,PET,-0.0028690763017200083,0.019230098892083613,0.8849907951758889,0.01624003132896156,0.04546081530552468,0.014197619156172523,0.0070201292318427195,9.387066452346206e-4,FALSE,-0.04259173900380467,-93.68890266829125
2503-9,8,8,8,0,0,FALSE,PET,0.055604434822343826,0.11649408204616575,0.6593943887563255,0.30751212037082676,0.1642852404421276,0.07251632399193209,0.07688462404765907,0.010546739093993352,FALSE,-0.10868080561978379,-66.15372466041374
2538-1,57,56,56,1,1,FALSE,PEESE,4.24614681664224,0.3296936321842164,5.661298278841107e-9,0.1889161459907902,3.7697194501176834,0.28301091084699687,3.5431394936191526e-10,1.0443523010321867,FALSE,0.4764273665245562,12.638271171868851
2538-2,17,17,17,0,0,FALSE,PEESE,4.464840230889682,0.4637203523563173,2.4380340500409635e-4,0.08070917760095311,3.538938927106924,0.46999904946814575,3.780182578571938e-4,0.958178340910614,FALSE,0.9259013037827581,26.163246183501695
2538-3,45,44,44,1,1,FALSE,PEESE,3.9372965440515113,0.40136799050912864,1.1618436994557635e-5,0.3216993691754489,3.8648218807972206,0.42170193729594674,1.822051299260775e-5,1.322271690087293,FALSE,0.07247466325429075,1.875239415673691
2538-4,35,35,35,0,0,FALSE,PEESE,3.463082101755571,0.48470478759010027,1.043143363799797e-4,0.027419029017647558,3.7927889113946898,0.4903668019622034,2.6009745293615225e-5,1.9499645578325555,FALSE,-0.3297068096391187,-8.692991287982816
2538-5,39,38,38,1,1,FALSE,PEESE,3.916158903282595,0.37868343806810867,4.032591936366181e-6,0.5705706951699563,3.825503991527614,0.38252138794839774,4.279020967571774e-6,1.0868071363919376,FALSE,0.09065491175498108,2.3697508081485608
2538-6,40,39,39,1,1,FALSE,PEESE,4.099351278930083,0.3384207408323821,1.2474498242018926e-7,0.12450809391530379,3.7136410941480196,0.3733203765771291,5.044699816932576e-7,1.2680220110077394,FALSE,0.3857101847820634,10.386307534938368
2538-7,34,34,34,0,0,FALSE,PEESE,3.8824975012267986,0.458276586147918,1.5554622006710422e-4,0.24536448571465316,3.8510040117288105,0.45088787383042406,1.4863344245371577e-4,1.2284777806660259,FALSE,0.031493489497988136,0.8177994466396293
2539-1,22,22,22,0,0,FALSE,PET,0.10681840068304946,0.13493443122226936,0.46003918179972425,0.007493435590736764,0.44321208919649063,0.08716899749122456,2.0644363284555542e-4,0.030498001282961564,FALSE,-0.3363936885134412,-75.89903270086722
2543-1,59,56,56,3,3,FALSE,PEESE,-0.9471689439746904,0.18070253945106562,3.7424457199411196e-5,0.0010028544972143947,-2.1090264286127645,0.23427453190824754,2.91502167737308e-9,0.31261596498485456,FALSE,-1.161857484638074,-55.08975463158604
2543-2,68,65,65,3,3,FALSE,PET,-0.37916704566674775,0.33958431284294155,0.281654315106897,0.0162768455864524,0.5739842690688605,0.11714631516128336,2.8675798804584713e-5,0.15631825180318074,FALSE,-0.19481722340211272,-33.94121300887788
2543-3,36,33,33,3,3,FALSE,PET,0.16736991476710011,0.31392712155947555,0.6130913983006864,0.5961578744498176,0.3205708915507517,0.1364874724247606,0.0320073303711716,0.09817322026144842,FALSE,-0.15320097678365158,-47.790046077654345
2553-1,42,42,42,0,0,FALSE,PET,0.01731400883139934,0.012836993162551694,0.19955678346112413,0.0040051578340745166,0.06529744212993978,0.01744359538301405,0.0014346470064957727,0.005285257410902285,FALSE,-0.047983433298540434,-73.48439959264402
2553-3,136,136,136,0,0,FALSE,PET,-0.005737049823694474,0.004710414828659043,0.23697206822350705,0.06242200002957184,0.015372759537054574,0.007623314993315861,0.052796318172099045,0.0015397068114236417,FALSE,-0.0096357097133601,-62.680416551980386
2553-4,24,24,24,0,0,FALSE,PET,0.007110358297528052,0.03446057319089055,0.8417289236632711,0.3167075471817205,0.058592903019834636,0.030846700235889736,0.08164819778985231,0.009451823611574841,FALSE,-0.05148254472230658,-87.86481308987014
2553-5,26,26,26,0,0,FALSE,PET,0.006435390550084878,0.003775696672333865,0.25143469844998523,0.05713592612001014,0.019764803153324472,0.009279269611507709,0.14187457537464299,2.566314649100967e-4,FALSE,-0.013329412603239594,-67.44014852987577
2561-1,17,17,17,0,0,FALSE,PET,0.004417255649733497,0.0038230347178263833,0.2810585119692113,0.06344490021579445,0.011358138382624334,0.0026546008974434768,0.0011341985855562048,3.137722848309361e-5,FALSE,-0.006940882732890836,-61.10933410979558
2561-2,16,16,16,0,0,FALSE,PET,0.003411537628924723,0.013957423130138006,0.8239276937360734,0.2644300870798563,0.024607523601807558,0.008657738511301409,0.049562352685063434,2.2703068873718882e-10,FALSE,-0.021195985972882834,-86.13620092728824
2571-1,18,18,18,0,0,FALSE,PET,0.1912983728102222,0.7239319308823268,0.8036712729575328,0.16547270772840497,1.4707769872460688,0.37695062626212184,0.0030538019389794507,1.118119083081538,FALSE,-1.2794786144358465,-86.99338006583747
2571-2,16,16,16,0,0,FALSE,PET,0.8839402718647289,0.954722287268717,0.40386226643682316,0.9526463929648452,0.9333131479505538,0.2511305521216359,0.0034367348834731548,0.6090710050601127,FALSE,-0.04937287608582486,-5.290065418476306
2571-3,17,17,17,0,0,FALSE,PEESE,1.6612090490729676,0.5073357131358532,0.011130968541284996,0.4385871818037903,1.3439310124008732,0.3298051754800528,0.0013164302601749026,1.4282009967535623,FALSE,0.3172780366720944,23.608208586934182
2571-4,14,13,13,1,1,FALSE,PET,-1.5272766481464073,0.6161521342702221,0.11287709339934542,0.058453773166340414,1.4638117024142356,0.7549506751627736,0.11065417042641634,0.13842909149979923,FALSE,0.06346494573217165,4.335594914803603
2575-1,47,47,47,0,0,FALSE,PET,0.10734609840826341,0.1235189503860142,0.4373657607975397,0.24709819700370417,0.27199262403038516,0.04892112324017032,2.0118141962941944e-4,1.9043057490923794e-8,FALSE,-0.16464652562212173,-60.5334524085214
2575-2,25,25,25,0,0,FALSE,PET,0.18503123497855026,0.08844059728439434,0.1294037495048474,0.4644865749469271,0.06612942420977157,0.12149241393680571,0.5986959905321966,0.10609326305150553,FALSE,0.11890181076877869,179.8016725377888
2591-1,97,97,97,0,0,FALSE,PET,-0.1307345252661213,0.2606344253925935,0.6263789677543746,0.6191258984059561,-0.011479309961717811,0.12827522093770327,0.9301968479514114,0.1735541333168541,FALSE,0.1192552153044035,1038.870939996446
2605-1,9,6,6,3,3,FALSE,PET,-0.9521566256778529,0.5450988064328343,0.22461762171067393,0.05057955809297073,1.1638231029959214,0.8646129151343734,0.24972789157662187,1.4562059543805295,FALSE,-0.21166647731806854,-18.187169233296302
2605-2,18,15,15,3,3,FALSE,PET,-0.391928097093636,0.5547714303884991,0.5407182596153168,0.48164790436502763,-0.8476253364943143,0.14904937514331448,0.0015882712526459272,3.108727184521425e-8,FALSE,-0.45569723940067824,-53.761634979599854
2605-3,11,11,11,0,0,FALSE,PEESE,0.2618505888719124,0.25258452209271237,0.33689645583313893,0.14942512373252684,-0.39679823362605837,0.39854222008339896,0.3470550328821227,1.3267196800293417,FALSE,-0.13494764475414595,-34.00913444622847
2605-4,9,8,8,1,1,FALSE,PET,1.1904525886490775,0.6056454385874681,0.18370319086404388,0.12788484616702184,-0.8112546210240754,0.4434680323697943,0.12278510462040114,5.290767711632594e-7,FALSE,0.37919796762500213,46.742164272214204
2605-5,6,4,4,2,2,FALSE,PET,0.23032066934522982,0.41374538209322054,0.6765916779475171,0.6018593986619349,-0.03143712559776761,0.07872235360847081,0.7310767185889951,5.798826425387303e-10,FALSE,0.1988835437474622,632.639085049128
2605-6,12,11,11,1,1,FALSE,PET,0.6964275181819443,0.3751264245758296,0.1592135067389924,0.07504688240512819,-1.1785459156710478,0.4252273447064233,0.032181340400409805,0.89080403319693,FALSE,-0.48211839748910357,-40.90790109052238
2611-1,133,126,126,7,7,FALSE,PET,-0.14468280564463104,0.13743659716246726,0.3080666872688487,0.004389556136405055,-0.7280082508653442,0.11060716993766916,2.3810713263041846e-7,0.23207644701644556,FALSE,-0.5833254452207131,-80.12621347729858
2642-1,12,9,9,3,3,FALSE,PET,0.25949742132122267,0.290334484226772,0.42769123592770963,0.039067414204506115,1.3097933250139078,0.3095648714895579,0.003504611648500308,0.3797892005686519,FALSE,-1.050295903692685,-80.18791084322656
2642-2,9,9,9,0,0,FALSE,PET,0.39804449927735824,0.4283218802175354,0.42097336630591975,0.16103247988540367,1.0663745430175213,0.22239399637421284,0.0015377762483760903,0.1817704766887241,FALSE,-0.6683300437401631,-62.67310562843978
