"estimator","meta_average_multiplier","heterogeneity_multiplier","setup_label","outlier_variant","measure","estimate","confidence_interval"
"pet_peese",1,0.25,"meta_1_heterogeneity_0p25","outliers_removed","No. of tests","63807","0"
"multilevel_random",1,0.5,"meta_1_heterogeneity_0p5","outliers_removed","ESR_{0.05}^{all}","0.003","[-0.015, 0.03]"
"multilevel_random",1,0.5,"meta_1_heterogeneity_0p5","outliers_removed","ESR_{0.05}^{sig}","0.006","[-0.023, 0.042]"
"multilevel_random",1,0.5,"meta_1_heterogeneity_0p5","outliers_removed","No. of meta-analysis","708","0"
"multilevel_random",1,0.5,"meta_1_heterogeneity_0p5","outliers_removed","No. of tests","63823","0"
"pet_peese",1,0.5,"meta_1_heterogeneity_0p5","outliers_removed","ESR_{0.05}^{all}","0","[NA, NA]"
"pet_peese",1,0.5,"meta_1_heterogeneity_0p5","outliers_removed","ESR_{0.05}^{sig}","0","[NA, NA]"
"pet_peese",1,0.5,"meta_1_heterogeneity_0p5","outliers_removed","No. of meta-analysis","708","0"
"pet_peese",1,0.5,"meta_1_heterogeneity_0p5","outliers_removed","No. of tests","63807","0"
"multilevel_random",1,0.75,"meta_1_heterogeneity_0p75","outliers_removed","ESR_{0.05}^{all}","-0.009","[-0.028, 0.014]"
"multilevel_random",1,0.75,"meta_1_heterogeneity_0p75","outliers_removed","ESR_{0.05}^{sig}","-0.018","[-0.047, 0.014]"
"multilevel_random",1,0.75,"meta_1_heterogeneity_0p75","outliers_removed","No. of meta-analysis","708","0"
"multilevel_random",1,0.75,"meta_1_heterogeneity_0p75","outliers_removed","No. of tests","63823","0"
"pet_peese",1,0.75,"meta_1_heterogeneity_0p75","outliers_removed","ESR_{0.05}^{all}","0","[NA, NA]"
"pet_peese",1,0.75,"meta_1_heterogeneity_0p75","outliers_removed","ESR_{0.05}^{sig}","0","[NA, NA]"
"pet_peese",1,0.75,"meta_1_heterogeneity_0p75","outliers_removed","No. of meta-analysis","708","0"
"pet_peese",1,0.75,"meta_1_heterogeneity_0p75","outliers_removed","No. of tests","63807","0"
