cID,exclusion_reason,n_primary_studies_pet_outlier_removed,n_primary_studies_random_effect_outlier_removed,k_all_data,k_outlier_removed,n_outliers_removed,k_random_effect_outlier_removed,n_random_effect_outliers_removed,pet_peese_method_all_data,pet_peese_method_outlier_removed,pet_peese_estimate_all_data,pet_peese_estimate_outlier_removed,random_effect_estimate_all_data,random_effect_estimate_outlier_removed,random_effect_between_study_variance_all_data,random_effect_within_study_effect_size_variance_all_data,random_effect_between_study_variance_outlier_removed,random_effect_within_study_effect_size_variance_outlier_removed,random_effect_final_model_warnings
1525-3,NA,9,9,13,13,0,13,0,PET,PET,-0.029391059526921795,-0.029391059526921795,0.4077739349672274,0.4077739349672274,0.09554703148796641,1.941265406766181e-10,0.09554703148796641,1.941265406766181e-10,
1525-4,NA,8,8,13,13,0,13,0,PET,PET,-0.16436187554854254,-0.16436187554854254,-0.04522513574051651,-0.04522513574051651,0.07198516714670876,1.0321889817019902e-10,0.07198516714670876,1.0321889817019902e-10,
1525-5,NA,10,10,15,15,0,15,0,PET,PET,0.044069191126404936,0.044069191126404936,0.32937743231671024,0.32937743231671024,0.03524735271503912,0.02812008736012975,0.03524735271503912,0.02812008736012975,
1525-6,NA,10,10,14,14,0,14,0,PET,PET,0.24703889961508424,0.24703889961508424,-0.09617758737263807,-0.09617758737263807,0.3428914969279771,8.326937778884776e-10,0.3428914969279771,8.326937778884776e-10,
1525-7,NA,10,10,14,14,0,14,0,PET,PET,-0.2548357569232963,-0.2548357569232963,-0.2133590432787309,-0.2133590432787309,0.07888905248409014,2.3679851275927955e-10,0.07888905248409014,2.3679851275927955e-10,
1525-8,NA,11,11,15,15,0,15,0,PET,PET,-0.031102666399509496,-0.031102666399509496,0.28604265364366943,0.28604265364366943,0.17050561701828582,8.707866644845983e-10,0.17050561701828582,8.707866644845983e-10,
1536-1,NA,11,11,151,148,3,150,1,PEESE,PEESE,-0.8963162872777308,-1.0959334144543884,-2.8113615241219105,-2.68798902614909,22.347660652762457,2.7613020845709153,18.9765607801015,2.7571062055725855,
1536-2,NA,11,11,40,38,2,38,2,PEESE,PEESE,-0.6094387438582405,-0.7883914114886194,-3.4192894706315617,-3.5359033714939736,1.8613848398829947e-4,168.37569586688053,11.951329310795739,51.908252726347314,
1536-3,NA,9,9,43,42,1,42,1,PET,PET,0.6664510162365087,1.139409257213999,-2.0579189044474773,-2.166185196277174,3.6724784281241107,5.5350978744277155,3.905049181666762,2.698084793285764,
1536-4,NA,20,20,94,87,7,88,6,PET,PEESE,-2.8336043166310163,-0.8301682556659497,-3.700345242076329,-1.9914001949386035,50.701721114564485,24.636211046873218,6.139688398914953,14.875467823087671,
1536-5,NA,11,11,45,45,0,44,1,PET,PET,-2.206915454147632,-2.206915454147632,-6.941051133320654,-6.822275894980743,30.319355131613154,11.762596459354139,28.196689709613437,11.414946547740563,
1541-1,NA,14,14,15,15,0,15,0,PET,PET,-0.04001751814695118,-0.04001751814695118,0.23198948089406884,0.23198948089406884,1.1586431782191995e-7,0.12698080720685773,1.1586431782191995e-7,0.12698080720685773,
1541-2,NA,14,14,15,15,0,15,0,PET,PET,-0.04001752089320062,-0.04001752089320062,0.23198948089572075,0.23198948089572075,1.1586477155155302e-7,0.12698080721046903,1.1586477155155302e-7,0.12698080721046903,
1583-1,NA,7,7,71,70,1,70,1,PEESE,PEESE,0.20717141193153354,0.20009908548156458,0.2068945197163521,0.19626749123293238,1.1569681149139623e-8,0.06015897642188959,2.8145134153961793e-4,0.05652938949731667,
1583-2,NA,30,30,250,249,1,249,1,PEESE,PEESE,0.2778312797062719,0.24403061705340723,0.27766544595453385,0.24405308831459,0.07599682882118446,0.08841718656279794,0.06731128963888157,0.008235239261585304,
1583-3,NA,24,24,279,272,7,272,7,PEESE,PEESE,0.35662655538949856,0.22282445923639824,0.3564734037750164,0.22278833913222473,0.19392568252461959,0.21737552536306326,0.019725916144029,0.06846355291484675,Ratio of largest to smallest sampling variance extremely large. May not be able to obtain stable results.
1583-4,NA,8,8,61,58,3,58,3,PET,PET,0.43899400266580524,0.07619561382155707,0.39089418405192855,0.12370875532027087,0.15929194016086498,0.5871095734799179,1.95442587675299e-9,0.003569267252249096,
1583-5,NA,8,8,69,66,3,66,3,PEESE,PEESE,0.6294570194766151,0.42765121962519864,0.5997771453210389,0.4240637719244774,0.2098335092075878,0.7028714735820129,0.15195953869537568,0.0056174133404961035,
1583-6,NA,11,11,81,80,1,80,1,PEESE,PEESE,0.2566643195627164,0.1547736588954862,0.259144565147572,0.15706907664231162,2.1213199882238564e-7,0.323057044223589,4.3017882014054185e-9,0.03249523432244645,
1612-1,NA,51,51,1488,1488,0,1488,0,PEESE,PEESE,0.4943082303678323,0.4943082303678323,0.4073713665423247,0.4073713665423247,0.032665131476934284,0.0321961770825016,0.032665131476934284,0.0321961770825016,
1612-2,NA,31,31,990,990,0,990,0,PEESE,PEESE,0.4444707616911511,0.4444707616911511,0.38749590097001646,0.38749590097001646,0.02192361177099659,0.03113436217820664,0.02192361177099659,0.03113436217820664,Ratio of largest to smallest sampling variance extremely large. May not be able to obtain stable results.
1612-3,NA,20,20,461,461,0,461,0,PEESE,PEESE,0.5505780738479544,0.5505780738479544,0.5381160659060639,0.5381160659060639,0.0363360070620084,0.015960731721545687,0.0363360070620084,0.015960731721545687,
1714-1,NA,22,22,40,39,1,39,1,PET,PET,-0.3125792106927901,-0.5697019922964189,1.4717023808655312,1.153843893326538,0.4210650658824063,2.3594767808622206,0.9470913282842113,0.1069689879902323,
1714-2,NA,23,23,32,32,0,31,1,PET,PET,-0.41221803145587604,-0.41221803145587604,1.0446536074705475,1.0012388061426074,1.1655983492877087,0.10978492156827642,0.7779656396817123,0.13791508531666305,
1743-1,NA,29,29,661,647,14,646,15,PET,PET,-0.6269113951493136,-0.4710889158225605,0.17712582861315426,0.16285616507092032,0.1512700199199133,0.42464778869154113,0.14771556566672903,0.20111845328768985,
1743-2,NA,20,20,48,48,0,48,0,PET,PET,0.17579598355509096,0.17579598355509096,0.268653935530896,0.268653935530896,0.0895107233612998,0.6260347886435405,0.0895107233612998,0.6260347886435405,
1744-1,NA,27,27,27,27,0,27,0,PEESE,PEESE,1.1690473070412055,1.1690473070412055,1.1340270901364355,1.1340270901364355,0.08200559510444606,0,0.08200559510444606,0,
1744-2,NA,22,22,25,25,0,25,0,PEESE,PEESE,0.5350180320919311,0.5350180320919311,0.5856816838013063,0.5856816838013063,0.012776663497263866,0.05253595811551461,0.012776663497263866,0.05253595811551461,
1747-1,NA,8,8,8,8,0,8,0,PEESE,PEESE,1.2763588152564975,1.2763588152564975,3.5737826235388956,3.5737826235388956,8.60088180500685,0,8.60088180500685,0,
1805-1,NA,15,15,41,41,0,40,1,PEESE,PEESE,0.5807090407405159,0.5807090407405159,0.5045530077771758,0.4121069603452867,0.24736776795772308,0.1873045203529657,0.15592309324982156,0.124286130563115,
184-1,NA,28,28,28,28,0,28,0,PET,PET,0.20423559776554062,0.20423559776554062,0.6998509983101929,0.6998509983101929,0.2713217694838486,0,0.2713217694838486,0,
1915-1,NA,8,8,13,13,0,13,0,PEESE,PEESE,-0.05269090564511503,-0.05269090564511503,-2.760168112862497,-2.760168112862497,1.4756930735777751e-5,9.189425169053056,1.4756930735777751e-5,9.189425169053056,
1916-1,NA,11,11,322,320,2,320,2,PET,PET,0.08467857689779212,0.06330209560942127,0.28223339910033235,0.2721882631194167,0.11829911487530508,0.5430024198842766,0.1181317656524168,0.49849429364293973,
1916-10,NA,7,7,189,186,3,186,3,PET,PET,-0.12323913844607953,-0.11236119689429754,-0.26090812923179335,-0.2797181627096519,0.06422259711146766,0.33539211130258617,0.0729625035790048,0.25756219928733814,
1916-11,NA,5,5,55,52,3,52,3,PET,PET,-0.052026729888415876,-0.050667713900180024,-0.02308720460685446,-0.0298641848188264,0.01260414358656959,0.07528247181886466,3.290476707718435e-9,0.024059624067491184,
1916-12,NA,22,22,417,410,7,409,8,PEESE,PET,-0.20542530577187215,-0.12264634269199726,-0.23078958216768247,-0.20591756019600702,0.04553317852842535,0.147526233128735,0.04121436675350633,0.11639367718872658,
1916-13,NA,33,33,819,813,6,812,7,PEESE,PEESE,-0.21921555134890597,-0.21447677372822316,-0.26619789137041444,-0.2619158185686066,0.05415700664577919,0.13286780402256335,0.04871206227994113,0.1185656159328439,
1916-14,NA,14,14,357,354,3,353,4,PEESE,PEESE,-0.4999441202601885,-0.46029777340461486,-0.5476351077320665,-0.47708330968807333,0.23262863376437393,0.7480971489611239,0.11553129824350229,0.5199267974929236,
1916-2,NA,19,19,362,356,6,356,6,PET,PEESE,0.277710012565415,0.38172903781422013,0.33389138542864555,0.37465131566279614,0.34457049764046876,0.35905895693029916,0.2890690067586393,0.1566300117382459,
1916-3,NA,6,6,221,219,2,219,2,PEESE,PEESE,0.8892569302866692,0.9097610878308972,0.934959542845766,0.9410024489283495,0.40484074224536676,0.6092174421365365,0.4210435895207532,0.4976903080726837,
1916-4,NA,39,39,1441,1415,26,1417,24,PEESE,PET,0.15522775755466248,0.06804316670493553,0.1972851834325169,0.187213980328528,0.07599390134306469,0.19496678477807744,0.07363815967627844,0.14805392190919592,
1916-5,NA,47,47,1095,1074,21,1074,21,PEESE,PEESE,0.3518247707229563,0.34430526672737727,0.4019822701314819,0.3764136941748791,0.18036608796604953,0.3718181125038913,0.13862708951833005,0.2575461182985561,
1916-6,NA,13,13,394,388,6,388,6,PEESE,PEESE,0.3455195815831219,0.3468206782015145,0.2844183968168051,0.297827574597292,0.1667141781957917,0.5472619754113762,0.15225285991421794,0.38665092285738606,
1916-7,NA,6,6,290,281,9,284,6,PEESE,PET,0.09815947411008571,0.04442802284159393,0.12541086166474524,0.11233130313855115,0.062376922613313776,0.08173559332921096,0.047948268398073667,0.0626224544009146,
1916-8,NA,5,5,34,33,1,33,1,PET,PET,-0.09937752750934369,-0.10250992190847655,-0.07074356872018803,-0.050771447501123536,0.01506461555314208,0.07695073778729038,0.014492636430966203,0.048080442187170946,
1916-9,NA,28,28,817,803,14,803,14,PET,PET,-0.06929340631947785,-0.016730076037105496,-0.19268530158647768,-0.16956266299521688,0.06536676944551575,0.5063701419094613,0.06664400803725838,0.34680946668294016,
1922-1,NA,18,18,56,56,0,56,0,PEESE,PEESE,0.1782014037743082,0.1782014037743082,0.1344196575414457,0.1344196575414457,0.08254066593175083,0.04380621750447372,0.08254066593175083,0.04380621750447372,
1922-2,NA,26,26,85,83,2,83,2,PEESE,PEESE,0.23879086078645542,0.25683500030656037,0.19404250688678196,0.22352318895701145,0.11546677581420155,0.1108032368110166,0.07429700950377678,0.09449247000230805,
1922-3,NA,7,7,34,34,0,34,0,PET,PET,0.011375687074020951,0.011375687074020951,0.0382545096924877,0.0382545096924877,0.0033680084251802088,8.73882921073339e-4,0.0033680084251802088,8.73882921073339e-4,
1928-1,NA,8,8,13,13,0,13,0,PET,PET,0.26450302277076837,0.26450302277076837,0.35864450849212465,0.35864450849212465,0.49515550237114914,0.24493501642597038,0.49515550237114914,0.24493501642597038,
1928-10,NA,11,11,14,14,0,14,0,PEESE,PEESE,0.5538086493846722,0.5538086493846722,0.34264928394500144,0.34264928394500144,0.5846269043699734,0.03619472004638651,0.5846269043699734,0.03619472004638651,
